Date,Ticker,Open,High,Low,Close,Volume,Delta,volumeDelta,high_low_delta,end_day_delta
2022-07-08,^NDX,11977.9501953125,12179.3203125,11956.0302734375,12125.6904296875,4495900000.0,0.0013742304531243477,-0.03569467561214157,0.018675934566557556,0.012334350365959717
2022-07-11,^NDX,12008.759765625,12026.0595703125,11830.8896484375,11860.2802734375,4343130000.0,-0.021888251047560314,-0.03397984830623457,0.016496639532156906,-0.012364265343413866
2022-07-12,^NDX,11926.83984375,11990.4404296875,11684.01953125,11744.990234375,4279920000.0,-0.00972068420007799,-0.014554019796782502,0.02622564072389204,-0.01524709074300971
2022-07-13,^NDX,11523.91015625,11819.6904296875,11498.9599609375,11728.5302734375,4400730000.0,-0.0014014452638134722,0.02822716312454432,0.027892128491579782,0.01775613610424793
2022-07-14,^NDX,11637.1796875,11801.1103515625,11488.26953125,11768.400390625,4456350000.0,0.0033994129066450274,0.012638812197067306,0.027231326655552522,0.011275988396565694
2022-07-15,^NDX,11896.150390625,11987.51953125,11828.1298828125,11983.6201171875,4342760000.0,0.01828793373940174,-0.02548947008201774,0.01347547330107608,0.007352775787992078
2022-07-18,^NDX,12089.6796875,12156.08984375,11836.51953125,11877.5,5003870000.0,-0.008855430675351328,0.15223268152050773,0.02699867234251517,-0.017550480491173064
2022-07-19,^NDX,12046.6904296875,12258.3701171875,11967.919921875,12249.419921875,5251410000.0,0.03131298016207107,0.04946971044411619,0.024269062394177143,0.016828646288436163
2022-07-20,^NDX,12269.0703125,12488.3896484375,12232.2001953125,12439.6796875,5427450000.0,0.015532144937348003,0.033522425405748235,0.020943857117640564,0.01390564815870192
2022-07-21,^NDX,12466.1298828125,12620.5,12351.419921875,12619.41015625,4646260000.0,0.014448158896776198,-0.1439331546122028,0.021785355839812826,0.012295738523375488
2022-07-22,^NDX,12575.759765625,12662.8603515625,12322.8203125,12396.4697265625,4700220000.0,-0.01766646990050358,0.011613641939968833,0.027594335585464213,-0.014256795804304194
2022-07-25,^NDX,12391.2099609375,12415.58984375,12244.400390625,12328.41015625,4261620000.0,-0.0054902380930811345,-0.09331478101025059,0.013981040121496865,-0.005068093017991979
2022-07-26,^NDX,12248.2099609375,12259.009765625,12051.2099609375,12086.900390625,4304110000.0,-0.01958969263385224,0.009970386848193957,0.017243065664033507,-0.013170052671121346
2022-07-27,^NDX,12299.33984375,12660.76953125,12256.9404296875,12601.4697265625,4559800000.0,0.04257248089316734,0.05940600960477305,0.03294697431867962,0.024564723525875215
2022-07-28,^NDX,12580.6103515625,12741.830078125,12433.5498046875,12717.8701171875,4892770000.0,0.009237048784844548,0.07302293960261408,0.024794228380480454,0.010910421814944175
2022-07-29,^NDX,12784.2001953125,12986.6396484375,12726.25,12947.9697265625,4893090000.0,0.018092621425975564,6.540262468912594e-05,0.02046083083685296,0.012810307156332574
2022-08-01,^NDX,12877.0400390625,13084.6103515625,12833.16015625,12940.7802734375,4373610000.0,-0.0005552571775211401,-0.10616604231681825,0.019593786117446593,0.004949913503541498
2022-08-02,^NDX,12853.0400390625,13073.26953125,12809.009765625,12901.599609375,4742630000.0,-0.003027689461888361,0.08437423547138412,0.02063077243755273,0.0037780610785401346
2022-08-03,^NDX,12983.580078125,13289.1904296875,12974.849609375,13253.259765625,5628590000.0,0.027257097328804436,0.18680774169606318,0.024226933627452027,0.020770826372793882
2022-08-04,^NDX,13253.76953125,13326.7197265625,13170.4404296875,13311.0400390625,5408540000.0,0.00435970277949016,-0.039095048671159205,0.01186591273916176,0.004321073161674229
2022-08-05,^NDX,13107.4501953125,13286.01953125,13070.3603515625,13207.6904296875,4888110000.0,-0.007764202426835953,-0.0962237498474634,0.016499864876466007,0.007647576979605691
2022-08-08,^NDX,13227.08984375,13394.5400390625,13103.7998046875,13159.16015625,5190590000.0,-0.0036743951333396696,0.0618807678223281,0.02218747529025865,-0.005135648755882444
2022-08-09,^NDX,13064.240234375,13095.7001953125,12945.599609375,13008.169921875,5271940000.0,-0.011474154321564844,0.015672592133071594,0.011594718704941215,-0.0042918923331236826
2022-08-10,^NDX,13330.66015625,13386.849609375,13220.0498046875,13378.3203125,5135480000.0,0.028455224128225876,-0.02588420960784832,0.01261718428839481,0.00357522851016908
2022-08-11,^NDX,13471.0302734375,13555.3798828125,13271.349609375,13291.990234375,5785100000.0,-0.006452983342336127,0.1264964521330041,0.02140176257860455,-0.013290745802534157
2022-08-12,^NDX,13384.650390625,13565.8701171875,13341.650390625,13565.8701171875,4755980000.0,0.020604881434851396,-0.17789147983613074,0.01680599625965737,0.013539369447365737
2022-08-15,^NDX,13529.66015625,13685.650390625,13524.5302734375,13667.1796875,4445180000.0,0.0074679743678323085,-0.06534930760852653,0.011913176571015096,0.010164300482187139
2022-08-16,^NDX,13617.66015625,13720.91015625,13508.4697265625,13635.2099609375,4992400000.0,-0.002339160477398239,0.12310412626710288,0.01572646154506797,0.0012887533163650946
2022-08-17,^NDX,13499.240234375,13591.580078125,13389.8203125,13470.8603515625,5166110000.0,-0.012053324433274781,0.03479488823010968,0.015068145868742404,-0.002102331858665078
2022-08-18,^NDX,13474.240234375,13553.2802734375,13405.740234375,13505.990234375,4663920000.0,0.0026078425501920854,-0.09720853795215356,0.011005736086410046,0.0023563480721533027
2022-08-19,^NDX,13370.25,13402.6103515625,13210.8203125,13242.900390625,4591500000.0,-0.019479493112648072,-0.01552771059537894,0.014517647998060303,-0.009524848778070716
2022-08-22,^NDX,13056.3896484375,13073.0703125,12859.8203125,12890.5400390625,4242600000.0,-0.026607490894664187,-0.07598823913753672,0.016582657830196645,-0.01270256279421377
2022-08-23,^NDX,12885.2802734375,13000.7099609375,12852.7001953125,12881.7900390625,3815730000.0,-0.0006787923526465622,-0.10061518879932119,0.011515849850678113,-0.00027086988415727216
2022-08-24,^NDX,12876.23046875,12995.1396484375,12843.580078125,12917.8603515625,3896570000.0,0.002800100947975448,0.021185985381565242,0.011800414634439354,0.00323307996960242
2022-08-25,^NDX,12984.740234375,13146.83984375,12951.6103515625,13143.580078125,4290090000.0,0.017473460806936014,0.10099138473067337,0.015073762017859597,0.012232808734170684
2022-08-26,^NDX,13129.91015625,13175.25,12603.41015625,12605.169921875,4510480000.0,-0.04096373690042654,0.05137188264115666,0.04537183481777161,-0.0399652570452066
2022-08-29,^NDX,12488.4599609375,12594.33984375,12440.400390625,12484.3203125,4183740000.0,-0.00958730506006722,-0.07244018374984484,0.012374155838344858,-0.0003314778964298525
2022-08-30,^NDX,12562.400390625,12572.8798828125,12240.8203125,12342.7001953125,4630720000.0,-0.011343838802798212,0.10683742297561505,0.027127231822315828,-0.017488711431014145
2022-08-31,^NDX,12448.0703125,12502.150390625,12268.080078125,12272.0302734375,4911500000.0,-0.005725645179475269,0.06063419943334947,0.01907962052818409,-0.0141419541055874
2022-09-01,^NDX,12158.8798828125,12290.330078125,12012.98046875,12274.6201171875,405310000.0,0.0002110362908414043,-0.9174773490786928,0.02308749357384574,0.009518988220173769
2022-09-02,^NDX,12392.4599609375,12451.2802734375,12035.5302734375,12098.4404296875,85400000.0,-0.0143531682298913,-0.7892970812464534,0.03454355483759309,-0.02372567933862884
2022-09-06,^NDX,12106.5703125,12152.419921875,11928.8095703125,12011.3095703125,82660000.0,-0.00720182571310557,-0.032084309133489475,0.018745403742465985,-0.007868515998221524
