,period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
146,2017-11-01,RI,Rhode Island,COM,commercial,60488.0,15.85,44.99186,283.8571,number of customers,cents per kilowatthour,million dollars,million kilowatthours
147,2017-12-01,VA,Virginia,TRA,transportation,1.0,8.61,1.2519,14.54461,number of customers,cents per kilowatthour,million dollars,million kilowatthours
148,2017-12-01,WA,Washington,ALL,all sectors,3461615.0,8.15,720.87192,8849.13172,number of customers,cents per kilowatthour,million dollars,million kilowatthours
149,2017-12-01,WA,Washington,COM,commercial,381988.0,8.65,231.42924,2674.82059,number of customers,cents per kilowatthour,million dollars,million kilowatthours
150,2017-12-01,WA,Washington,IND,industrial,27734.0,4.45,90.83522,2040.08622,number of customers,cents per kilowatthour,million dollars,million kilowatthours
151,2017-12-01,WA,Washington,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
152,2017-12-01,WA,Washington,RES,residential,3051887.0,9.64,398.53564,4133.46705,number of customers,cents per kilowatthour,million dollars,million kilowatthours
153,2017-12-01,WA,Washington,TRA,transportation,6.0,9.48,0.07181,0.75786,number of customers,cents per kilowatthour,million dollars,million kilowatthours
154,2017-12-01,WV,West Virginia,ALL,all sectors,1016222.0,9.01,279.86228,3105.35015,number of customers,cents per kilowatthour,million dollars,million kilowatthours
155,2017-12-01,WV,West Virginia,COM,commercial,144593.0,9.23,59.67551,646.32084,number of customers,cents per kilowatthour,million dollars,million kilowatthours
156,2017-12-01,WV,West Virginia,IND,industrial,11471.0,6.48,77.42478,1194.98628,number of customers,cents per kilowatthour,million dollars,million kilowatthours
157,2017-12-01,WV,West Virginia,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
158,2017-12-01,WV,West Virginia,RES,residential,860158.0,11.29,142.76199,1264.04303,number of customers,cents per kilowatthour,million dollars,million kilowatthours
159,2017-12-01,WV,West Virginia,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
160,2017-12-01,WI,Wisconsin,ALL,all sectors,3049832.0,10.69,646.88767,6051.30927,number of customers,cents per kilowatthour,million dollars,million kilowatthours
161,2017-12-01,WI,Wisconsin,COM,commercial,352849.0,10.61,212.62726,2003.48945,number of customers,cents per kilowatthour,million dollars,million kilowatthours
162,2017-12-01,WI,Wisconsin,IND,industrial,5715.0,7.36,143.65869,1953.06459,number of customers,cents per kilowatthour,million dollars,million kilowatthours
163,2017-12-01,WI,Wisconsin,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
164,2017-12-01,WI,Wisconsin,RES,residential,2691267.0,13.87,290.59881,2094.73523,number of customers,cents per kilowatthour,million dollars,million kilowatthours
165,2017-12-01,WI,Wisconsin,TRA,transportation,1.0,14.5,0.0029,0.02,number of customers,cents per kilowatthour,million dollars,million kilowatthours
166,2017-12-01,WY,Wyoming,ALL,all sectors,340560.0,8.25,124.09086,1503.70636,number of customers,cents per kilowatthour,million dollars,million kilowatthours
167,2017-12-01,WY,Wyoming,COM,commercial,57751.0,9.45,31.44542,332.68068,number of customers,cents per kilowatthour,million dollars,million kilowatthours
168,2017-12-01,WY,Wyoming,IND,industrial,10953.0,6.8,59.22248,870.59405,number of customers,cents per kilowatthour,million dollars,million kilowatthours
169,2017-12-01,WY,Wyoming,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
170,2017-12-01,WY,Wyoming,RES,residential,271856.0,11.13,33.42296,300.43164,number of customers,cents per kilowatthour,million dollars,million kilowatthours
171,2017-12-01,WY,Wyoming,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
172,2017-12-01,NEW,New England,ALL,all sectors,7226774.0,16.74,1706.34213,10194.59445,number of customers,cents per kilowatthour,million dollars,million kilowatthours
173,2017-12-01,NEW,New England,COM,commercial,884036.0,15.55,679.95951,4372.23258,number of customers,cents per kilowatthour,million dollars,million kilowatthours
174,2017-12-01,NEW,New England,IND,industrial,22748.0,12.89,175.08827,1358.39174,number of customers,cents per kilowatthour,million dollars,million kilowatthours
175,2017-12-01,NEW,New England,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
176,2017-12-01,NEW,New England,RES,residential,6319984.0,19.18,846.49431,4413.11022,number of customers,cents per kilowatthour,million dollars,million kilowatthours
177,2017-12-01,NEW,New England,TRA,transportation,6.0,9.44,4.80005,50.85991,number of customers,cents per kilowatthour,million dollars,million kilowatthours
178,2017-12-01,MAT,Middle Atlantic,ALL,all sectors,18455302.0,12.13,3772.58518,31089.39409,number of customers,cents per kilowatthour,million dollars,million kilowatthours
179,2017-12-01,MAT,Middle Atlantic,COM,commercial,2324789.0,11.72,1522.53286,12988.4597,number of customers,cents per kilowatthour,million dollars,million kilowatthours
180,2017-12-01,MAT,Middle Atlantic,IND,industrial,41246.0,6.8,411.7955,6058.81106,number of customers,cents per kilowatthour,million dollars,million kilowatthours
181,2017-12-01,MAT,Middle Atlantic,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
182,2017-12-01,MAT,Middle Atlantic,RES,residential,16089247.0,15.39,1802.89594,11714.54417,number of customers,cents per kilowatthour,million dollars,million kilowatthours
183,2017-12-01,MAT,Middle Atlantic,TRA,transportation,20.0,10.79,35.36087,327.57916,number of customers,cents per kilowatthour,million dollars,million kilowatthours
184,2017-12-01,ENC,East North Central,ALL,all sectors,22681808.0,10.05,4858.49889,48336.86877,number of customers,cents per kilowatthour,million dollars,million kilowatthours
185,2017-12-01,ENC,East North Central,COM,commercial,2490941.0,9.92,1491.05913,15035.45254,number of customers,cents per kilowatthour,million dollars,million kilowatthours
186,2017-12-01,ENC,East North Central,IND,industrial,53913.0,6.96,1083.0848,15562.90526,number of customers,cents per kilowatthour,million dollars,million kilowatthours
